Date,Close
"Jul 28, 2020",11300.55
"Jul 27, 2020",11131.80
"Jul 24, 2020",11194.15
"Jul 23, 2020",11215.45
"Jul 22, 2020",11132.60
"Jul 21, 2020",11162.25
"Jul 20, 2020",11022.20
"Jul 17, 2020",10901.70
"Jul 16, 2020",10739.95
"Jul 15, 2020",10618.20
"Jul 14, 2020",10607.35
"Jul 13, 2020",10802.70
"Jul 10, 2020",10768.05
"Jul 09, 2020",10813.45
"Jul 08, 2020",10705.75
"Jul 07, 2020",10799.65
"Jul 06, 2020",10763.65
"Jul 03, 2020",10607.35
"Jul 02, 2020",10551.70
"Jul 01, 2020",10430.05
"Jun 30, 2020",10302.10
"Jun 29, 2020",10312.40
"Jun 26, 2020",10383.00
"Jun 25, 2020",10288.90
"Jun 24, 2020",10305.30
"Jun 23, 2020",10471.00
"Jun 22, 2020",10311.20
"Jun 19, 2020",10244.40
"Jun 18, 2020",10091.65
"Jun 17, 2020",9881.15
"Jun 16, 2020",9914.00
"Jun 15, 2020",9813.70
"Jun 12, 2020",9972.90
"Jun 11, 2020",9902.00
"Jun 10, 2020",10116.15
"Jun 09, 2020",10046.65
"Jun 08, 2020",10167.45
"Jun 05, 2020",10142.15
"Jun 04, 2020",10029.10
"Jun 03, 2020",10061.55
"Jun 02, 2020",9979.10
"Jun 01, 2020",9826.15
"May 29, 2020",9580.30
"May 28, 2020",9490.10
"May 27, 2020",9314.95
"May 26, 2020",9029.05
"May 22, 2020",9039.25
"May 21, 2020",9106.25
"May 20, 2020",9066.55
"May 19, 2020",8879.10
"May 18, 2020",8823.25
"May 15, 2020",9136.85
"May 14, 2020",9142.75
"May 13, 2020",9383.55
"May 12, 2020",9196.55
"May 11, 2020",9239.20
"May 08, 2020",9251.50
"May 07, 2020",9199.05
"May 06, 2020",9270.90
"May 05, 2020",9205.60
"May 04, 2020",9293.50
"Apr 30, 2020",9859.90
"Apr 29, 2020",9553.35
"Apr 28, 2020",9380.90
"Apr 27, 2020",9282.30
"Apr 24, 2020",9154.40
"Apr 23, 2020",9313.90
"Apr 22, 2020",9187.30
"Apr 21, 2020",8981.45
"Apr 20, 2020",9261.85
"Apr 17, 2020",9266.75
"Apr 16, 2020",8992.80
"Apr 15, 2020",8925.30
"Apr 13, 2020",8993.85
"Apr 09, 2020",9111.90
"Apr 08, 2020",8748.75
"Apr 07, 2020",8792.20
"Apr 03, 2020",8083.80
"Apr 01, 2020",8253.80
"Mar 31, 2020",8597.75
"Mar 30, 2020",8281.10
"Mar 27, 2020",8660.25
"Mar 26, 2020",8641.45
"Mar 25, 2020",8317.85
"Mar 24, 2020",7801.05
"Mar 23, 2020",7610.25
"Mar 20, 2020",8745.45
"Mar 19, 2020",8263.45
"Mar 18, 2020",8468.80
"Mar 17, 2020",8967.05
"Mar 16, 2020",9197.40
"Mar 13, 2020",9955.20
"Mar 12, 2020",9590.15
"Mar 11, 2020",10458.40
"Mar 09, 2020",10451.45
"Mar 06, 2020",10989.45
"Mar 05, 2020",11269.00
"Mar 04, 2020",11251.00
"Mar 03, 2020",11303.30
"Mar 02, 2020",11132.75
"Feb 28, 2020",11201.75
"Feb 27, 2020",11633.30
"Feb 26, 2020",11678.50
"Feb 25, 2020",11797.90
"Feb 24, 2020",11829.40
"Feb 20, 2020",12080.85
"Feb 19, 2020",12125.90
"Feb 18, 2020",11992.50
"Feb 17, 2020",12045.80
"Feb 14, 2020",12113.45
"Feb 13, 2020",12174.65
"Feb 12, 2020",12201.20
"Feb 11, 2020",12107.90
"Feb 10, 2020",12031.50
"Feb 07, 2020",12098.35
"Feb 06, 2020",12137.95
"Feb 05, 2020",12089.15
"Feb 04, 2020",11979.65
"Feb 03, 2020",11707.90
"Jan 31, 2020",11962.10
"Jan 30, 2020",12035.80
"Jan 29, 2020",12129.50
"Jan 28, 2020",12055.80
"Jan 27, 2020",12119.00
"Jan 24, 2020",12248.25
"Jan 23, 2020",12180.35
"Jan 22, 2020",12106.90
"Jan 21, 2020",12169.85
"Jan 20, 2020",12224.55
"Jan 17, 2020",12352.35
"Jan 16, 2020",12355.50
"Jan 15, 2020",12343.30
"Jan 14, 2020",12362.30
"Jan 13, 2020",12329.55
"Jan 10, 2020",12256.80
"Jan 09, 2020",12215.90
"Jan 08, 2020",12025.35
"Jan 07, 2020",12052.95
"Jan 06, 2020",11993.05
"Jan 03, 2020",12226.65
"Jan 02, 2020",12282.20
"Jan 01, 2020",12182.50
"Dec 31, 2019",12168.45
"Dec 30, 2019",12255.85
"Dec 27, 2019",12245.80
"Dec 26, 2019",12126.55
"Dec 24, 2019",12214.55
"Dec 23, 2019",12262.75
"Dec 20, 2019",12271.80
"Dec 19, 2019",12259.70
"Dec 18, 2019",12221.65
"Dec 17, 2019",12165.00
"Dec 16, 2019",12053.95
"Dec 13, 2019",12086.70
"Dec 12, 2019",11971.80
"Dec 11, 2019",11910.15
"Dec 10, 2019",11856.80
"Dec 09, 2019",11937.50
"Dec 06, 2019",11921.50
"Dec 05, 2019",12018.40
"Dec 04, 2019",12043.20
"Dec 03, 2019",11994.20
"Dec 02, 2019",12048.20
"Nov 29, 2019",12056.05
"Nov 28, 2019",12151.15
"Nov 27, 2019",12100.70
"Nov 26, 2019",12037.70
"Nov 25, 2019",12073.75
"Nov 22, 2019",11914.40
"Nov 21, 2019",11968.40
"Nov 20, 2019",11999.10
"Nov 19, 2019",11940.10
"Nov 18, 2019",11884.50
"Nov 15, 2019",11895.45
"Nov 14, 2019",11872.10
"Nov 13, 2019",11840.45
"Nov 11, 2019",11913.45
"Nov 08, 2019",11908.15
"Nov 07, 2019",12012.05
"Nov 06, 2019",11966.05
"Nov 05, 2019",11917.20
"Nov 04, 2019",11941.30
"Nov 01, 2019",11890.60
"Oct 31, 2019",11877.45
"Oct 30, 2019",11844.10
"Oct 29, 2019",11786.85
"Oct 27, 2019",
"Oct 25, 2019",11583.90
"Oct 24, 2019",11582.60
"Oct 23, 2019",11604.10
"Oct 22, 2019",11588.35
"Oct 18, 2019",11661.85
"Oct 17, 2019",11586.35
"Oct 16, 2019",11464.00
"Oct 15, 2019",11428.30
"Oct 14, 2019",11341.15
"Oct 11, 2019",11305.05
"Oct 10, 2019",11234.55
"Oct 09, 2019",11313.30
"Oct 07, 2019",11126.40
"Oct 04, 2019",11174.75
"Oct 03, 2019",11314.00
"Oct 01, 2019",11359.90
"Sep 30, 2019",11474.45
"Sep 27, 2019",11512.40
"Sep 26, 2019",11571.20
"Sep 25, 2019",11440.20
"Sep 24, 2019",11588.20
"Sep 23, 2019",11600.20
"Sep 20, 2019",11274.20
"Sep 19, 2019",10704.80
"Sep 18, 2019",10840.65
"Sep 17, 2019",10817.60
"Sep 16, 2019",11003.50
"Sep 13, 2019",11075.90
"Sep 12, 2019",10982.80
"Sep 11, 2019",11035.70
"Sep 09, 2019",11003.05
"Sep 06, 2019",10946.20
"Sep 05, 2019",10847.90
"Sep 04, 2019",10844.65
"Sep 03, 2019",10797.90
"Aug 30, 2019",11023.25
"Aug 29, 2019",10948.30
"Aug 28, 2019",11046.10
"Aug 27, 2019",11105.35
"Aug 26, 2019",11057.85
"Aug 23, 2019",10829.35
"Aug 22, 2019",10741.35
"Aug 21, 2019",10918.70
"Aug 20, 2019",11017.00
"Aug 19, 2019",11053.90
"Aug 16, 2019",11047.80
"Aug 14, 2019",11029.40
"Aug 13, 2019",10925.85
"Aug 09, 2019",11109.65
"Aug 08, 2019",11032.45
"Aug 07, 2019",10855.50
"Aug 06, 2019",10948.25
"Aug 05, 2019",10862.60
"Aug 02, 2019",10997.35
"Aug 01, 2019",10980.00
"Jul 31, 2019",11118.00
"Jul 30, 2019",11085.40
"Jul 29, 2019",11189.20
"Jul 26, 2019",11284.30
"Jul 25, 2019",11252.15
"Jul 24, 2019",11271.30
"Jul 23, 2019",11331.05
"Jul 22, 2019",11346.20
"Jul 19, 2019",11419.25
"Jul 18, 2019",11596.90
"Jul 17, 2019",11687.50
"Jul 16, 2019",11662.60
"Jul 15, 2019",11588.35
"Jul 12, 2019",11552.50
"Jul 11, 2019",11582.90
"Jul 10, 2019",11498.90
"Jul 09, 2019",11555.90
"Jul 08, 2019",11558.60
"Jul 05, 2019",11811.15
"Jul 04, 2019",11946.75
"Jul 03, 2019",11916.75
"Jul 02, 2019",11910.30
"Jul 01, 2019",11865.60
"Jun 28, 2019",11788.85
"Jun 27, 2019",11841.55
"Jun 26, 2019",11847.55
"Jun 25, 2019",11796.45
"Jun 24, 2019",11699.65
"Jun 21, 2019",11724.10
"Jun 20, 2019",11831.75
"Jun 19, 2019",11691.45
"Jun 18, 2019",11691.50
"Jun 17, 2019",11672.15
"Jun 14, 2019",11823.30
"Jun 13, 2019",11914.05
"Jun 12, 2019",11906.20
"Jun 11, 2019",11965.60
"Jun 10, 2019",11922.70
"Jun 07, 2019",11870.65
"Jun 06, 2019",11843.75
"Jun 04, 2019",12021.65
"Jun 03, 2019",12088.55
"May 31, 2019",11922.80
"May 30, 2019",11945.90
"May 29, 2019",11861.10
"May 28, 2019",11928.75
"May 27, 2019",11924.75
"May 24, 2019",11844.10
"May 23, 2019",11657.05
"May 22, 2019",11737.90
"May 21, 2019",11709.10
"May 20, 2019",11828.25
"May 17, 2019",11407.15
"May 16, 2019",11257.10
"May 15, 2019",11157.00
"May 14, 2019",11222.05
"May 13, 2019",11148.20
"May 10, 2019",11278.90
"May 09, 2019",11301.80
"May 08, 2019",11359.45
"May 07, 2019",11497.90
"May 06, 2019",11598.25
"May 03, 2019",11712.25
