Date,Open,High,Low,Close
03-May-19,-,-,-,5329.65
02-May-19,-,-,-,5337.11
30-Apr-19,-,-,-,5352.02
26-Apr-19,-,-,-,5367.72
25-Apr-19,-,-,-,5334.83
24-Apr-19,-,-,-,5366.95
23-Apr-19,-,-,-,5312.19
22-Apr-19,-,-,-,5319.33
18-Apr-19,-,-,-,5396.1
16-Apr-19,-,-,-,5420.14
15-Apr-19,-,-,-,5384.84
12-Apr-19,-,-,-,5361.61
11-Apr-19,-,-,-,5339.58
10-Apr-19,-,-,-,5333.36
09-Apr-19,-,-,-,5363.36
08-Apr-19,-,-,-,5340.07
05-Apr-19,-,-,-,5367.65
04-Apr-19,-,-,-,5335.06
03-Apr-19,-,-,-,5352.71
02-Apr-19,-,-,-,5387.4
01-Apr-19,-,-,-,5377.46
29-Mar-19,-,-,-,5355.33
28-Mar-19,-,-,-,5321.09
27-Mar-19,-,-,-,5265.97
26-Mar-19,-,-,-,5271.35
25-Mar-19,-,-,-,5215.91
22-Mar-19,-,-,-,5265.72
20-Mar-19,-,-,-,5295.19
19-Mar-19,-,-,-,5304.81
18-Mar-19,-,-,-,5275.6
15-Mar-19,-,-,-,5266.51
14-Mar-19,-,-,-,5239.16
13-Mar-19,-,-,-,5241.05
12-Mar-19,-,-,-,5236.73
11-Mar-19,-,-,-,5183.71
08-Mar-19,-,-,-,5108.99
07-Mar-19,-,-,-,5116.98
06-Mar-19,-,-,-,5119.31
05-Mar-19,-,-,-,5086.97
01-Mar-19,-,-,-,5009.17
28-Feb-19,-,-,-,4962.56
27-Feb-19,-,-,-,4956.2
26-Feb-19,-,-,-,4960
25-Feb-19,-,-,-,4977.36
22-Feb-19,-,-,-,4941.45
21-Feb-19,-,-,-,4930.74
20-Feb-19,-,-,-,4898.9
19-Feb-19,-,-,-,4842.01
18-Feb-19,-,-,-,4848.15
15-Feb-19,-,-,-,4888.77
14-Feb-19,-,-,-,4912.71
13-Feb-19,-,-,-,4922.74
12-Feb-19,-,-,-,4943.61
11-Feb-19,-,-,-,4966.86
08-Feb-19,-,-,-,5006.04
07-Feb-19,-,-,-,5065.74
06-Feb-19,-,-,-,5049.97
05-Feb-19,-,-,-,5004.36
04-Feb-19,-,-,-,5010.34
01-Feb-19,-,-,-,5019.65
31-Jan-19,-,-,-,4991.25
30-Jan-19,-,-,-,4925.75
29-Jan-19,-,-,-,4919.63
28-Jan-19,-,-,-,4920.49
25-Jan-19,-,-,-,4987.02
24-Jan-19,-,-,-,5031.14
23-Jan-19,-,-,-,5030.61
22-Jan-19,-,-,-,5064.9
21-Jan-19,-,-,-,5079.25
18-Jan-19,-,-,-,5071.84
17-Jan-19,-,-,-,5084.31
16-Jan-19,-,-,-,5083.05
15-Jan-19,-,-,-,5081.67
14-Jan-19,-,-,-,5023.64
11-Jan-19,-,-,-,5049.44
10-Jan-19,-,-,-,5061.08
09-Jan-19,-,-,-,5065.3
08-Jan-19,-,-,-,5049.93
07-Jan-19,-,-,-,5040.42
04-Jan-19,-,-,-,5026.03
03-Jan-19,-,-,-,5004.39
02-Jan-19,-,-,-,5053.45
01-Jan-19,-,-,-,5105.3
31-Dec-18,-,-,-,5089.64
28-Dec-18,-,-,-,5079.49
27-Dec-18,-,-,-,5038.83
26-Dec-18,-,-,-,5018.45
24-Dec-18,-,-,-,4997.58
21-Dec-18,-,-,-,5042.4
20-Dec-18,-,-,-,5125.87
19-Dec-18,-,-,-,5132.3
18-Dec-18,-,-,-,5093.21
17-Dec-18,-,-,-,5080.08
14-Dec-18,-,-,-,5045.29
13-Dec-18,-,-,-,5037.66
12-Dec-18,-,-,-,5006.69
11-Dec-18,-,-,-,4908.2
10-Dec-18,-,-,-,4865.72
07-Dec-18,-,-,-,4960.85
06-Dec-18,-,-,-,4929.96
